"id","display_name","issn_l","count"
"https://openalex.org/S106296714","Lecture notes in computer science","0302-9743",4857
"https://openalex.org/S4210226185","Proceedings of the VLDB Endowment","2150-8097",2999
"https://openalex.org/S30698027","IEEE Transactions on Knowledge and Data Engineering","1041-4347",1361
"https://openalex.org/S2485537415","IEEE Access","2169-3536",1074
"https://openalex.org/S2764900261","Communications in computer and information science","1865-0929",630
"https://openalex.org/S4387289859","Proceedings of the ACM on Management of Data","2836-6573",526
"https://openalex.org/S78926909","The VLDB Journal","1066-8888",455
"https://openalex.org/S97130795","IEEE Transactions on Parallel and Distributed Systems","1045-9219",387
"https://openalex.org/S192650101","Information Sciences","0020-0255",368
"https://openalex.org/S186357190","Future Generation Computer Systems","0167-739X",350
"https://openalex.org/S2764905038","Advances in intelligent systems and computing","2194-5365",304
"https://openalex.org/S10169007","Knowledge-Based Systems","0950-7051",278
"https://openalex.org/S81770430","Knowledge and Information Systems","0219-3116",275
"https://openalex.org/S13144211","Expert Systems with Applications","0957-4174",274
"https://openalex.org/S193006928","Information Systems","0306-4379",258
"https://openalex.org/S47508943","ACM SIGMOD Record","0163-5808",241
"https://openalex.org/S4210205812","Applied Sciences","2076-3417",237
"https://openalex.org/S90119964","ACM Transactions on Database Systems","0362-5915",234
"https://openalex.org/S129236917","World Wide Web","1386-145X",232
"https://openalex.org/S157921468","ACM Computing Surveys","0360-0300",228
"https://openalex.org/S11065456","Concurrency and Computation Practice and Experience","1532-0626",225
"https://openalex.org/S101949793","Sensors","1424-8220",224
"https://openalex.org/S32326811","The Journal of Supercomputing","0920-8542",221
"https://openalex.org/S41523882","ACM Transactions on Knowledge Discovery from Data","1556-4681",201
"https://openalex.org/S4210202905","Electronics","2079-9292",190
"https://openalex.org/S2480266640","IEEE Internet of Things Journal","2327-4662",186
"https://openalex.org/S45693802","Neurocomputing","0925-2312",179
"https://openalex.org/S4210169156","Lecture notes in networks and systems","2367-3389",175
"https://openalex.org/S204223317","IEEE Transactions on Services Computing","1939-1374",163
"https://openalex.org/S120348307","Procedia Computer Science","1877-0509",162
"https://openalex.org/S2491400915","IEEE Transactions on Big Data","2332-7790",156
"https://openalex.org/S4210231404","Frontiers of Computer Science","2095-2228",146
"https://openalex.org/S2764431341","ISPRS International Journal of Geo-Information","2220-9964",146
"https://openalex.org/S161516442","Journal of Computer Science and Technology","1000-9000",145
"https://openalex.org/S35927321","Distributed and Parallel Databases","0926-8782",145
"https://openalex.org/S121920818","Data Mining and Knowledge Discovery","1384-5810",145
"https://openalex.org/S157670870","IEEE Transactions on Computers","0018-9340",142
"https://openalex.org/S4210179954","Lecture notes in electrical engineering","1876-1100",137
"https://openalex.org/S84775595","IEEE Transactions on Visualization and Computer Graphics","1077-2626",132
"https://openalex.org/S144771191","IEEE Transactions on Intelligent Transportation Systems","1524-9050",131
"https://openalex.org/S4210172589","SSRN Electronic Journal","1556-5068",130
"https://openalex.org/S74726891","Applied Intelligence","0924-669X",127
"https://openalex.org/S2492498579","IEEE Transactions on Cloud Computing","2168-7161",125
"https://openalex.org/S106148199","Cluster Computing","1386-7857",122
"https://openalex.org/S2764461748","Studies in computational intelligence","1860-949X",121
"https://openalex.org/S4210177767","Lecture notes in business information processing","1865-1348",121
"https://openalex.org/S69141925","IEEE Transactions on Mobile Computing","1536-1233",119
"https://openalex.org/S4210216081","Proceedings of the ACM on Programming Languages","2475-1421",118
"https://openalex.org/S148324379","ACM SIGPLAN Notices","0362-1340",117
"https://openalex.org/S158124317","ACM Transactions on Storage","1553-3077",114
"https://openalex.org/S62238642","IEEE/ACM Transactions on Networking","1063-6692",112
"https://openalex.org/S157146593","Journal of Parallel and Distributed Computing","0743-7315",111
"https://openalex.org/S133795288","IEEE Transactions on Dependable and Secure Computing","1545-5971",111
"https://openalex.org/S4210168194","GeoInformatica","1384-6175",108
"https://openalex.org/S136993123","Data & Knowledge Engineering","0169-023X",107
"https://openalex.org/S61310614","IEEE Transactions on Information Forensics and Security","1556-6013",107
"https://openalex.org/S4393917809","Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","1867-8211",105
"https://openalex.org/S2490693980","IEEE Transactions on Computational Social Systems","2329-924X",105
"https://openalex.org/S2492086750","ACM Transactions on Intelligent Systems and Technology","2157-6904",103
"https://openalex.org/S202381698","PLoS ONE","1932-6203",101
"https://openalex.org/S2737955091","Journal Of Big Data","2196-1115",101
"https://openalex.org/S110206669","Multimedia Tools and Applications","1380-7501",100
"https://openalex.org/S4210192031","Mathematics","2227-7390",99
"https://openalex.org/S174847851","Information Processing & Management","0306-4573",99
"https://openalex.org/S196734849","Scientific Reports","2045-2322",92
"https://openalex.org/S2764891196","Social Network Analysis and Mining","1869-5450",90
"https://openalex.org/S4210219776","Information","2078-2489",87
"https://openalex.org/S73012565","Datenbank-Spektrum","1618-2162",86
"https://openalex.org/S90727058","Theoretical Computer Science","0304-3975",84
"https://openalex.org/S2486202937","IEICE Transactions on Information and Systems","0916-8532",84
"https://openalex.org/S110189822","Journal of Data and Information Quality","1936-1963",81
"https://openalex.org/S4210177235","Semantic Web","1570-0844",80
"https://openalex.org/S26056741","ACM Transactions on Architecture and Code Optimization","1544-3566",79
"https://openalex.org/S30128005","Journal of Network and Computer Applications","1084-8045",79
"https://openalex.org/S4394735545","ACM Transactions on Information Systems","1046-8188",77
"https://openalex.org/S2486411021","Data Science and Engineering","2364-1541",77
"https://openalex.org/S103482838","Communications of the ACM","0001-0782",76
"https://openalex.org/S147897268","Neural Computing and Applications","0941-0643",76
"https://openalex.org/S4502562","IEEE Transactions on Information Theory","0018-9448",76
"https://openalex.org/S2503711797","ACM Transactions on Spatial Algorithms and Systems","2374-0353",74
"https://openalex.org/S2484352698","IEEE Transactions on Network Science and Engineering","2327-4697",74
"https://openalex.org/S12529635","Computers & Security","0167-4048",73
"https://openalex.org/S4210206610","Advances in data mining and database management book series","2327-1981",71
"https://openalex.org/S4210187594","Journal of Physics Conference Series","1742-6588",71
"https://openalex.org/S4210216571","Lecture notes on data engineering and communications technologies","2367-4520",71
"https://openalex.org/S122199241","Software Practice and Experience","0038-0644",70
"https://openalex.org/S63392143","Computer Networks","1389-1286",67
"https://openalex.org/S173527311","IEEE Transactions on Network and Service Management","1932-4537",65
"https://openalex.org/S97833917","ACM Transactions on Internet Technology","1533-5399",64
"https://openalex.org/S190629608","Algorithms","1999-4893",64
"https://openalex.org/S4210184905","SpringerBriefs in computer science","2191-5768",63
"https://openalex.org/S36033921","Journal of Intelligent Information Systems","0925-9902",63
"https://openalex.org/S900972176","Engineering Applications of Artificial Intelligence","0952-1976",61
"https://openalex.org/S2491565770","Big Data Research","2214-5796",61
"https://openalex.org/S235346","Wireless Communications and Mobile Computing","1530-8669",60
"https://openalex.org/S10134376","Sustainability","2071-1050",60
"https://openalex.org/S34838331","Future Internet","1999-5903",60
"https://openalex.org/S140556538","Applied Soft Computing","1568-4946",60
"https://openalex.org/S35593046","Computing","0010-485X",59
"https://openalex.org/S982029923","Synthesis lectures on data management","2153-5418",57
"https://openalex.org/S128754310","Applied Mechanics and Materials","1660-9336",57
"https://openalex.org/S4210195017","International Journal of Data Science and Analytics","2364-4168",57
"https://openalex.org/S20211220","Journal of Web Semantics","1570-8268",56
"https://openalex.org/S120683614","Security and Communication Networks","1939-0122",55
"https://openalex.org/S7560371","Information Fusion","1566-2535",55
"https://openalex.org/S2764955546","Journal of King Saud University - Computer and Information Sciences","1319-1578",55
"https://openalex.org/S4210172046","Smart innovation, systems and technologies","2190-3018",54
"https://openalex.org/S195231649","Entropy","1099-4300",54
"https://openalex.org/S184777250","IEEE Transactions on Industrial Informatics","1551-3203",54
"https://openalex.org/S131231701","ACM Transactions on the Web","1559-1131",53
"https://openalex.org/S44643521","The Computer Journal","0010-4620",53
"https://openalex.org/S37879656","Journal of Systems and Software","0164-1212",53
"https://openalex.org/S207319443","Complexity","1076-2787",52
"https://openalex.org/S4210174798","SN Computer Science","2661-8907",52
"https://openalex.org/S4210193905","ACM SIGARCH Computer Architecture News","0163-5964",52
"https://openalex.org/S50071195","ACM SIGOPS Operating Systems Review","0163-5980",51
"https://openalex.org/S414566","Pattern Recognition","0031-3203",50
"https://openalex.org/S65753830","Soft Computing","1432-7643",50
"https://openalex.org/S100835903","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","0278-0070",49
"https://openalex.org/S4210175523","IEEE Transactions on Neural Networks and Learning Systems","2162-237X",49
"https://openalex.org/S123019304","Neural Networks","0893-6080",48
"https://openalex.org/S199944782","IEEE Transactions on Pattern Analysis and Machine Intelligence","0162-8828",48
"https://openalex.org/S179157397","Journal of Intelligent & Fuzzy Systems","1064-1246",47
"https://openalex.org/S2498839158","Intelligent Data Analysis","1088-467X",47
"https://openalex.org/S24688465","Physica A Statistical Mechanics and its Applications","0378-4371",45
"https://openalex.org/S4210178049","PeerJ Computer Science","2376-5992",44
"https://openalex.org/S127660348","Journal of Systems Architecture","1383-7621",44
"https://openalex.org/S4210181446","International Journal of Geographical Information Systems","0269-3798",43
"https://openalex.org/S111872859","International Journal of Geographical Information Science","1365-8816",43
"https://openalex.org/S2764696622","AIP conference proceedings","0094-243X",43
"https://openalex.org/S4210219266","Studies in big data","2197-6511",41
"https://openalex.org/S62148650","Machine Learning","0885-6125",41
"https://openalex.org/S141020589","Journal of Computer and System Sciences","0022-0000",40
"https://openalex.org/S115004586","Computer Communications","0140-3664",40
"https://openalex.org/S4210185096","IFIP advances in information and communication technology","1868-4238",39
"https://openalex.org/S2496326734","IEEE Transactions on Emerging Topics in Computing","2168-6750",39
"https://openalex.org/S48031226","Journal of Ambient Intelligence and Humanized Computing","1868-5137",38
"https://openalex.org/S4210187660","ACM SIGMETRICS Performance Evaluation Review","0163-5999",38
"https://openalex.org/S148561398","Scientometrics","0138-9130",38
"https://openalex.org/S205899252","IEEE Internet Computing","1089-7801",38
"https://openalex.org/S148521650","International Journal of Parallel Programming","0885-7458",37
"https://openalex.org/S190787756","Symmetry","2073-8994",37
"https://openalex.org/S2505707916","Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery","1942-4795",36
"https://openalex.org/S23688054","IEEE Communications Surveys & Tutorials","1553-877X",36
"https://openalex.org/S8351582","IEEE Transactions on Software Engineering","0098-5589",36
