"id","display_name","issn_l","count"
"https://openalex.org/S4210226185","Proceedings of the VLDB Endowment","2150-8097",2680
"https://openalex.org/S106296714","Lecture notes in computer science","0302-9743",1789
"https://openalex.org/S30698027","IEEE Transactions on Knowledge and Data Engineering","1041-4347",744
"https://openalex.org/S78926909","The VLDB Journal","1066-8888",509
"https://openalex.org/S47508943","ACM SIGMOD Record","0163-5808",480
"https://openalex.org/S90119964","ACM Transactions on Database Systems","0362-5915",460
"https://openalex.org/S103482838","Communications of the ACM","0001-0782",312
"https://openalex.org/S4210191458","Proceedings of the AAAI Conference on Artificial Intelligence","2159-5399",246
"https://openalex.org/S157921468","ACM Computing Surveys","0360-0300",224
"https://openalex.org/S118992489","Journal of the ACM","0004-5411",219
"https://openalex.org/S153560523","SIAM Journal on Computing","0097-5397",177
"https://openalex.org/S193006928","Information Systems","0306-4379",152
"https://openalex.org/S97130795","IEEE Transactions on Parallel and Distributed Systems","1045-9219",148
"https://openalex.org/S4387289859","Proceedings of the ACM on Management of Data","2836-6573",144
"https://openalex.org/S148324379","ACM SIGPLAN Notices","0362-1340",140
"https://openalex.org/S141020589","Journal of Computer and System Sciences","0022-0000",136
"https://openalex.org/S199944782","IEEE Transactions on Pattern Analysis and Machine Intelligence","0162-8828",133
"https://openalex.org/S121920818","Data Mining and Knowledge Discovery","1384-5810",128
"https://openalex.org/S52395412","Bioinformatics","1367-4803",127
"https://openalex.org/S90727058","Theoretical Computer Science","0304-3975",124
"https://openalex.org/S192650101","Information Sciences","0020-0255",100
"https://openalex.org/S147953040","Information Processing Letters","0020-0190",96
"https://openalex.org/S62148650","Machine Learning","0885-6125",90
"https://openalex.org/S81770430","Knowledge and Information Systems","0219-3116",87
"https://openalex.org/S84775595","IEEE Transactions on Visualization and Computer Graphics","1077-2626",85
"https://openalex.org/S66039016","ACM SIGCOMM Computer Communication Review","0146-4833",82
"https://openalex.org/S157670870","IEEE Transactions on Computers","0018-9340",82
"https://openalex.org/S89324355","Algorithmica","0178-4617",81
"https://openalex.org/S4210210321","Proceedings - International Conference on Data Engineering","1084-4627",81
"https://openalex.org/S4210193905","ACM SIGARCH Computer Architecture News","0163-5964",77
"https://openalex.org/S125754415","Proceedings of the National Academy of Sciences","0027-8424",76
"https://openalex.org/S41523882","ACM Transactions on Knowledge Discovery from Data","1556-4681",76
"https://openalex.org/S50071195","ACM SIGOPS Operating Systems Review","0163-5980",76
"https://openalex.org/S2485537415","IEEE Access","2169-3536",74
"https://openalex.org/S136993123","Data & Knowledge Engineering","0169-023X",74
"https://openalex.org/S193109227","ACM Transactions on Computer Systems","0734-2071",74
"https://openalex.org/S178916657","Computer","0018-9162",69
"https://openalex.org/S62238642","IEEE/ACM Transactions on Networking","1063-6692",67
"https://openalex.org/S2486411021","Data Science and Engineering","2364-1541",66
"https://openalex.org/S4394736638","Journal of the American Statistical Association","0162-1459",66
"https://openalex.org/S4502562","IEEE Transactions on Information Theory","0018-9448",65
"https://openalex.org/S13144211","Expert Systems with Applications","0957-4174",64
"https://openalex.org/S4394735545","ACM Transactions on Information Systems","1046-8188",64
"https://openalex.org/S8351582","IEEE Transactions on Software Engineering","0098-5589",62
"https://openalex.org/S4210176598","ACM SIGKDD Explorations Newsletter","1931-0145",55
"https://openalex.org/S171741597","Discrete Applied Mathematics","0166-218X",55
"https://openalex.org/S157146593","Journal of Parallel and Distributed Computing","0743-7315",55
"https://openalex.org/S137773608","Nature","0028-0836",52
"https://openalex.org/S158124317","ACM Transactions on Storage","1553-3077",51
"https://openalex.org/S110520077","Journal of Algorithms","0196-6774",50
"https://openalex.org/S137348503","ACM Transactions on Algorithms","1549-6325",47
"https://openalex.org/S196139623","Artificial Intelligence","0004-3702",47
